author,comment,published_at
Shubair Abbas,"Hi darshil you are doing a great job,have to request you to create some projects around Databricks and synapse in Azure. We all are waiting with desperation. Likewise AWS,Azure is also hitting popularity and companies ask more for Azure Data Engineers. I know you are very busy creating other playlists. But it's a humble request to create only 2-3 Data pipeline projects in Azure. Those who wants #Azure#Data Engineering. Please hit like so it came at top and Darshil got to know.
Super excited for that series🌟⭐",2023-05-09T18:35:15Z
SOUHAIL F17,"in 12:02 where can I get the access_key, access_secret, consumer_key and consumer_secret ?",2023-05-09T16:08:24Z
Sunitee Jundre,"Error: Apply for elevated access via the developer portal.
Is Twitter now charging the users for elevating their API access level?",2023-05-08T18:40:09Z
DeleLinus,"I  find it worthy to join a youtube channel membership for the first time. I hope with smart and harwork from myself and your help, I am able to land a Data Engineering job soon.",2023-05-05T16:45:32Z
Apoorv Pandkar,Real content is finally here ❤ Loved the tutorial.,2023-05-04T14:42:16Z
Ajay Dhungel,Wanted to try this but Twitter seems to have shut down free access to their APIs. Top Content though!,2023-05-04T03:36:42Z
Phước Vũ Hoàng,"anyone got stuck in step accessing to airflow, I follow Darshil steps but still got stck",2023-05-01T20:13:26Z
Saiyed Owais Ahmed,Mentor of many data engineer ❤,2023-04-30T19:43:29Z
Jayant Sande,"Nice work , Keep it up ! Try to code & run real-time business usecases to make it more interested for learners.",2023-04-30T11:30:06Z
Rey Paulo Bae,"Thank you so much! I encountered some issues along the way, but was able to resolve them!",2023-04-27T08:22:37Z
Pinku Kumar,Thank you so much,2023-04-23T05:47:39Z
Subash Konar,Cant we copy the python scripts directly to folders in AWS intance?,2023-04-18T09:40:16Z
Cellent Maya,Thanks for this great hands on Project. Can you try doing the same in GCP or Azure? Thanks,2023-04-18T08:02:11Z
सौरव भट्टनागर,"great content
Thanks Darshil bhai, very cool",2023-04-12T17:09:38Z
सौरव भट्टनागर,"This project is now impossible to implement for gareeb, berozgar people like me :)
Thank you Elon",2023-04-12T17:08:34Z
Nafees Raza,Very Nice Brother,2023-04-12T12:10:17Z
Sandipan Sarkar,finished watching,2023-04-09T18:23:21Z
