author,comment,published_at
Richard Cutler,"In the mid 90s, I watched so many times over and over Don Lapre infomercials, that finally being curious, I contacted the BBB to get a report on him to see if he was legitimate, since I and a friend of mine were considering his 900 number series of business ventures..... the BBB sent me back about two weeks later, a report, I can't tell you how many pages since it's been a long time, but it was more than an inch thick, all with bad reviews complaints, hundreds of them, including detailed reports of him getting cease-and-desist orders from several different states attorney generals!! 

Needless to say we did not enter any of his programs and saved a lot of money!",2023-01-27T06:32:13Z
Ryan Bennett,I love that the two ads I got during this video were both for get rich quick schemes.,2023-01-27T03:10:00Z
Marie22,"As a kid I used to stay up and watch the infomercials. The ones that would repeat back to back I'd still watch. Could have been about a vacuum, a blender, anything I'd watch it repetitively. Def a weird kid lol 😂",2023-01-27T02:44:00Z
Jimmy Farari,James I am an actor and I am making a movie about a guy who lost everything to gurus I wanno show in the movie how all these tactics and isolation tactics from families and all those immoral sales tactics that you mentioned and you did help me a lot and I wanno repay you if you are interested give me a message,2023-01-26T23:58:25Z
SAJAD,Amazing video.,2023-01-26T10:44:22Z
Jaime Recalde,"You make really amazing content, every video is incredible and eye opener. keep going mate!",2023-01-26T09:55:55Z
Peace Formula,"I became rich by drinking my own urine.

Follow for more tips",2023-01-26T05:23:27Z
Devaraj R,What's funny is that Youtube is paying you from the money the rich gurus have paid to promote their ads during the middle of your video.  In a way you are making money from the rich Gurus by exposing them 😂,2023-01-25T20:55:09Z
Dunkan  Weak arm ,"My friend lost thousands to Dan Lok. He even put me down at one point for being ""closed minded"" and therefore broke. I honestly felt so bad for him that I just took it and nodded rather then tell him how ridiculous it was. He bought his books, attended closers in black and took coaching. In the end he's only doing ok because he went to university bot because of Dan Lok. Dan didn't make him a single penny",2023-01-25T03:11:35Z
SigmaChicken09,marks,2023-01-24T19:35:48Z
L4gunasM3ntales,"I love your content man, your journey resonates with me and is inspiring me to also produce instead of consume all the time",2023-01-24T06:55:46Z
NEuX,the verve... omg... literally i was getting shunned  by ex in-laws for calling them out.... what a mess,2023-01-23T22:38:30Z
CryptoRider,Is Mr Gurv a scam? Thoughts?,2023-01-23T20:06:07Z
Morten Hummel Andersen,Deres Everybody has nord vpn As sponsor,2023-01-23T18:53:42Z
Sasha Narancic,Brutal content man!,2023-01-23T18:01:00Z
Jowshot,Only Truth & Fact here ❤️,2023-01-23T16:54:09Z
QuantumBackflip,3:56 Michael Scott,2023-01-23T15:19:21Z
metricmine,"Damn, Don Lapre. I forgot his name, but I remember being in my early teens watching his ads on TV and wishing I was able to buy his product. I had dreams of not having to go to school and I could live the life being rich.",2023-01-23T14:40:08Z
Henry Galdamez,Amazing work man. Just a greta video essay,2023-01-23T07:54:03Z
SP Mask,That's why I work a full time job and I do what I want to do while commuting to my job.,2023-01-23T05:37:23Z
Izaac Lem,Am 20 and I am a victim of this scam. I used my school fee in university and felled in a Ponzi trap. I lost $500. I wanted to be rich while at school. Lesson learned. Nothing comes trouble free and fast money comes with consequences.,2023-01-22T20:17:02Z
Manuel Correia,passive income exists...i earn passive income with crypto mining ...but its not quick and i am not rich yet :D :D,2023-01-22T18:12:54Z
Beertje Martina,what about making a video about casinos and games about blackjack,2023-01-22T13:41:52Z
pnwmax,"A year later it’s still just as bad - especially across TikTok. The FTC is underfunded and has way too little resources to be the internet sheriffs here, which unfortunately allows more and more “gurus” to jump onto social media and continue to scam vulnerable people with false promises.",2023-01-22T08:56:07Z
Sachin Lagamuwa,"Every time I think the video is over, ..... there's more. Cudos to you. I never knew.",2023-01-22T06:54:07Z
Chadni Pradhan,"i always find these ""Guru's"" laughable.",2023-01-22T06:30:21Z
Dennis Horvath,Good job on your research.,2023-01-22T01:10:39Z
xX_GodNotReal_Xx,"How to get rich quick (fake broken version): ""Follow this guide""
How to get rich quick (real working version): ""Write that guide""",2023-01-21T18:43:54Z
Maugel,"No one gives out their ""Get Rich Quick"" secrets unless it's a crap or a pyramid- or a profit only for them.",2023-01-21T13:42:51Z
JohnPeter Mwangi Mukuha,You have a special place in heaven with free WiFi 😉☺️,2023-01-21T12:32:56Z
The Alpha Sniper Academy,"What immediately springs to mind is the trading course boom. As a trader myself, you're only able to truly see through them once you have experience. Unfortunately, where does most of this experience come from? Initially believing their inflated promises and paying for their terrible courses which are essentially plagiarized. You eventually think you're in a scam industry until you pull away from the hype and go do the work yourself. Don't let the Lamborghinis fool you, anything can be rented these days.",2023-01-21T07:20:34Z
T Ranger,I remember in highschool asking my dad for money to get into the classified ads nonsense. My mom heard my dad and I arguing as I was trying to sell him on it. My mom went in to say if it was that easy everyone would be rich.,2023-01-21T02:01:00Z
MichaelKopec,It's funny he has a drop shipping add on his video lamo,2023-01-20T23:03:11Z
Loxley Nixon,Big fan. Absolutely brilliant,2023-01-20T18:49:43Z
theobald igberaese,Salute James,2023-01-20T01:18:46Z
Tom Fotheringham,"Good content and well done for escaping the trap of the pyramid. Have a friend that took many years to stop pedalling health shakes. Once you have put so much effort into something it's hard to realise it's not ever going to work for you. Could be said about almost anything but ponzi schemes are the quickest way to failure by far that are at least semi legal.  Oh and NornVPN isn't that far away from being a ponzi scheme, so look out everyone.",2023-01-19T16:45:38Z
adamaze,even john petrucci got scammed!!! dang,2023-01-19T16:00:49Z
Wyzar,"People wanna get rich without any skills, they think what can clients offer to me, instead of what i can offer",2023-01-19T14:44:52Z
Jordan Singer,NO ONE WHO HAS THE SECRET TO GETTING RICH WOULD SELL IT - THAT WOULD BE STUPID - WHO FALLS FOR THIS SHIT!@,2023-01-19T10:34:38Z
Phil,"The law of attraction is a very real law. But its misinterpreted and misunderstood especially by the grifters who use it to manipulate people into feeling like they need to buy into their program. The law of attractions real purpose is to improve our soul condition by bringing us events that expose our lack of love. The irony is there is a lot of truth that people live in poverty due to their own actions, and law of attraction. But the law is trying to expose issues that they have in many areas... usually in areas like self-responsibility, fear of lack of money, fear of insecurity etc etc. This is also what the MLM guys prey on. And even being drawn to an MLM scheme is one of your own laws of attraction - to help you learn about these fears and issues you have. Its great that you make these videos Jani as a way to share what you've learned. Thats a great demonstration of how we've understood the lesson and helping others learn it too, as many fail at the same lesson time and time again",2023-01-19T08:18:27Z
The raven Guy,It’s simple just become Walter white,2023-01-19T02:00:36Z
Daddy Reeeco Gaming,"I i see guys doing a pitch, i will say to them (you son of a pitch) hehehe",2023-01-18T23:19:01Z
Philip Jones,Is the lottery a pyramid scheme?,2023-01-18T17:18:00Z
AP,Sounds a lot like what the Tate brothers are doing to the next generation…,2023-01-18T16:21:19Z
Christian Cabiles,I've  encountered many of these in highschool and college turned them all down. Dunno the way these people speak sounds really off to me the first time I have encountered a some kind of recruiter for this pyramid scheme. Maybe because of my personality I guess? I'm too judgemental to believe every word that comes out of their mouths,2023-01-18T14:44:57Z
F C,@jamesjani - So when do you plan on selling your video editing course?? lol...,2023-01-18T13:29:26Z
F C,"All this marketing stuff sounds like how Universities & College market to Students LOL.  They promise that you will live your dream life by getting your dream job if you go through their university or college.  But in reality, many graduates find out that they end up leaving their jobs and switching to something else that has little or nothing to do with the degree that they had received in post secondary.  So, all of this is fair game.  Don't hate!!  Instead learn the rules fo the game and play it to win.",2023-01-18T13:26:04Z
F C,"It's not just gurus, there are legit companies too that do this.  For example, the financial company formerly called ""Freedom 55"" used to play on the dreams of people of retiring at the age of 55, which is 10 years earlier than the normal retirement age.  So, they were selling the dream that if you invest with them, then you could retire at 55, when in fact the chances of this happening was slim to non.  But it WORKED!!!",2023-01-18T12:34:34Z
3abd Angry,you're typical you speak about long past scammers and you don't talk about current scammers to warm people.,2023-01-18T10:30:46Z
Planet Bongo,Ah’m riiich byotch!,2023-01-18T09:28:11Z
AutoHoax,"I'm an ex drug addict. I can usually spot ""my kind"" from a mile away. Sober or in active addiction doesn't matter. When I see Grant Cardon, all I see is someone who appears like a scammer and a druggie. Maybe he is pure as the driven snow, and my intuitions are wrong, but he is a Big Time Scientology affiliate . Enuff said ! !",2023-01-17T21:31:22Z
HaydenDom,deadass got an ad from a guru claiming to be different than other gurus while watching this video,2023-01-17T21:04:51Z
Tung Tran,"Able to hold down a 9 to 5 is an achievement, not failure.  It requires ability to work with others, solving problems, overcome and learn from set backs, etc.",2023-01-17T20:02:52Z
Ace Gibson,"I love the OG's of get rich quick: Dave Del Dotto, Carleton Sheets and my favorite Tom Vu !!!!!",2023-01-16T23:28:47Z
Chris Wong,Does Ponzi fall under this I feel like he did his own thing the only similarities are the deception,2023-01-16T23:14:00Z
Random mc face,Love that the YouTube add i am presented with every 4 min is a get Rich Quick Scheme. YouTube is broken!,2023-01-16T19:11:12Z
#Kirito,"Uk what's most funniest part ?
Y'all dumbos watching this video.
He's the one who gets earned if u watch it. (Caz he's the one who worked to make this video)
It wasn't u who made this video. He made it so that he can fool u like those guys he showed.
Now that is talent.
Meanwhile pathetic u guys watching this so casually & very easily everywhere & anytime u want. Now see who's downbad here ?
Once u realised now, Go & start earning money by finding any problems which u can solve.
Time is precious & yet i still typed everything wasting some of my time caz i just wanted u guys to live a happy life. 
Whoever Read It Till The End. You Did Great A Great Job! 
I Hope You Succeed. Insha'Allah.",2023-01-16T15:11:20Z
ante martic,Gift for something and few years 20 hours per day and there is no way you will fail. Is that quick enough?,2023-01-16T11:17:19Z
Sof Sofoklis,"I'm really enjoying your documentaries, amazing work thank you ❤️",2023-01-16T09:16:19Z
Luis Ribeiro,If i had found a way to get rich quickly i wouldnt reveal to others,2023-01-16T08:37:21Z
jerry meehan jr ,That tai guy with the garage knowledge scam artist video has me blocked on Instagram because I called him out on a post inviting social media influencers to a huge house party they had to have more than 100k followers and some other shit and I was like dude you’re a tool and went off on him for it and he blocked me lol,2023-01-15T23:29:52Z
Paddy,man did his own infomercial half way thru 😂😂😂😂😂,2023-01-15T18:33:18Z
Dark Mage,As I waited for your report an ad for a quick rich scheme played. Crazy.,2023-01-15T15:36:13Z
HeyItWorked99,"During this video I got no fewer than 3 Grant Cardone ads, plus a Tony Robbins and a Greg Secker. Either the algorithm is just that dumb or it's become self aware and developed a sense of irony.",2023-01-15T11:13:29Z
Lester Dela Cruz,Already a very good video and helpful to society. One thing I would add is that AI also exacerbate these get rich schemes to a vulnerable individual. If one so much as click on just one video of get Rich schemes social media AI will feed you with more thus further falling into the trap. Gurus understand social media algorithms and take advantage of it.,2023-01-15T10:25:03Z
Crypto Kool AId,These guys should be in jail,2023-01-15T10:00:16Z
Meow Meow,"DON LE PRE!!!!!! 😄😄😄😄
That shady MF'a😄....that took me back. My youth days,..VHS day's,...girls gone wild 😄😄😄,..., before woke, gender confusion, and male feminist 🤮....but also when I was young and gullible. Wow,...we were all there once,...and unfortunately some of us never leave.",2023-01-15T09:49:51Z
joe,Kinda funny. These guys now look like bros. Id never buy anything from these guys wearing beanies looking like they just woke up.,2023-01-15T06:46:39Z
aziz0x00,Great video man!,2023-01-14T22:54:36Z
Kill All Politicians,"""Everyone can be caught in a get rich quick scheme""
The greed cope, what if you dont care if you are rich?",2023-01-14T17:49:25Z
Hdgh Bshdgyh,THE COVID CULT…….. THE FAUCI CULT…. PFIZER CULT,2023-01-14T09:24:51Z
zabir hussain,Bastards,2023-01-14T08:55:20Z
Lu Lo,Funny how you don't see Asians or Indians fall for this BS,2023-01-14T04:47:42Z
Azra Cevher,But you made it :) a good channel on youtube;),2023-01-14T01:01:36Z
The Truth,"Watch Charlie Munger or Warren Buffett.  Do what they did and you will get rich.  If you follow Lopez and the other mafia scum bags, you will be poor your whole life.",2023-01-13T21:59:22Z
Araz Nayebzadeh,👏👏👏👏👏,2023-01-13T13:41:27Z
crooza. The truth,He dose exactly what he dose,2023-01-13T01:22:36Z
Alex B,Sounds familiar... AIN'T THAT RIGHT DEAR ANDREW TATE FANS????,2023-01-12T19:55:18Z
taylorlin321,"When a commercial model’s income based on recruiting new members instead of selling out products, it’s a scheme",2023-01-12T12:43:03Z
voltage80x,"We are drawn to these schemes because we know in our capitalist society, even food and water, your basic survival is on you. 

The stories you would be told as a child to teach you sharing was a farce. In the adult world it’s all on you, while the rich think of new ways to suck your money out. 

Be it crypto or one of these schemes, and the government isn’t helping because the capitalist lobbied to make companies people. 

It’s hell eh?",2023-01-12T12:06:54Z
Rikimaru,You definitely hit the nail on the head on this one! I have paid thousands of dollars to these gurus just to be left in the dark with their programs. But it wasn’t all bad. I learn that there really isn’t a method to get rich quick beside hard work. And if you do get rich quick it isn’t going to last long because someone is getting scam by your products/services. I look at it as a life season learned,2023-01-11T17:43:37Z
Karnor00,I particularly love the irony of Youtube's advertising algorithms showing me no less than 4 Get Rich Quick adverts during this video pointing out that they are all scams!,2023-01-11T14:12:40Z
David Hutchinson,"This the sickness of the United States.  Getting rich.  People in the US don't even realize that in nations like Finland or Denmark rich people are a rare thing.  The vast, vast majority are middle class and desire to be.   The social contract is in place and the people can rest easy knowing healthcare, retirement and the rest of it are taken care of.",2023-01-10T21:47:26Z
SKGS Inc🐏,Herbalife 😂,2023-01-10T19:43:17Z
Rena Tendouji,You deserve a comment.,2023-01-10T17:04:17Z
Matias,"Then again, you shouldn't stray away from buying courses you truly believe will benefit you and will teach you something useful, just because of the fear of it being a get rich scheme.",2023-01-10T15:16:50Z
Fed,Great video. And the best thing is YouTube that push get rich quick commercials while watching 😂,2023-01-10T07:59:07Z
Greg Homewood,This is a NordVPN infomercial.,2023-01-10T05:53:24Z
Danny Riley,So ironic that every advert through this vid is Grant Cardone or another shill.,2023-01-09T14:09:48Z
Question everything,Gotta love that You tube algorithm. Watch a video exposing get rich quick schemes. Only to get interrupted by get rich quick ads. Haha,2023-01-09T11:37:05Z
Michelle Ayres,Well said.,2023-01-09T05:51:31Z
The Plant Paradigm,"I did MLM for a few years, had a great time, met some of my closest friends, but looking back, the people at the top definitely had a pretty toxic attitude.",2023-01-09T05:19:26Z
Louis Tacanho,"James is the milionaire fastlane a good book,because it promotes get rich quick?",2023-01-07T22:34:08Z
Axelalex Music & Art,"So ironic how YouTube dropped me a ""get rich quick"" ad in the middle of this video... These gurus are all just annoying...",2023-01-07T18:21:29Z
Victor Fernando Guevarra,"You're exactly me about 15 or more years ago. I thought i was just a negative thinker when all these get rich quick scheme entered my stratosphere. I have a natural inclination to doubt something too good to be true even at my earliest years approaching adulthood. That was 1996 when me and my college close friends encountered MLM that promised us salvation for all our worldly problems. The thing is, I hated myself back then for not being sold like all of my friends did. I told myself that it's maybe because I don't have any ambitions in life. Ultimately though, I plunged in (mainly to fit in the group). I was introduced to law of attraction  and motivational stuff which most are good to be fair and i was kinda moved. I lost a lot of my savings and I was in debt on the process but i did not stop there, I continue to do so in a number of these get rich quick scheme which are, I think its safe to say on its golden age in those period. I continue to fail and fail miserably I did. I finally called it quits. I just went back to what I do good and make a living out of it. Looking back, I could still say that my experience with those gave me a wiser recognition in detecting BS in almost all things that I also applied in my present work. I love everything you do. This is exactly what I wanted to do or expose way back many years but doesn't have the talent or the guts to do so. I am so thankful that somebody else did it for me. More power to you brother!",2023-01-07T10:16:47Z
Martize Smith,I wonder how he creates his video content. Truly amazing. I want to make content like this but I don't know how or where to look,2023-01-07T02:00:48Z
Consider The Cure,Thank god I said NO to a MLM scheme job,2023-01-07T00:37:17Z
SchnelleBasis,Grant Cardone ADD while watching this :D,2023-01-06T22:19:23Z
Land Lord,It is the pyramid...No it is a triangle,2023-01-06T14:48:17Z
Kaustubh Iyer,This concept of selling a dream and then promoting it by using multi-level marketing sounds exactly like a cult called kristianity.,2023-01-06T06:03:30Z
Orlando Alsbrooks,He obviously hasn't listen to Grant cardone because he teaches get rich slow and sales training. Didn't do his research on the guy,2023-01-05T23:59:13Z
RetroComputing with Mike,"Is that ""Good to Great"" you got there on the table? ☺️",2023-01-05T17:35:13Z
Paulius Drungilas,It’s funny how i watching this video and getting ads by making quick cash. 😂,2023-01-05T15:57:45Z
Bbonno,"If it was that easy, why would they need to share the profits with you?",2023-01-05T15:40:42Z
Andrew Tetteh,James Jani please don't become a villain 🙁,2023-01-05T14:23:56Z
Abel samrawi,you fuckin saved my life james what a man,2023-01-05T10:46:34Z
Rod B,The Vemo scheme seems much like religion and the LOA,2023-01-04T23:24:52Z
tim wong,"I have not fallen for these ""get rich schemes"" because I was taught ""there is no such thing as a free lunch"" and I am lazy af.😂",2023-01-04T23:24:13Z
Rod B,I remember Don LaPre pitching newspaper ads in the 90s.,2023-01-04T23:15:50Z
jeromemmac,"Anyone else get absolutely blasted by get rich quick ads on this vid? 

Amazing watch btw, keep it up. Cheers",2023-01-04T22:31:54Z
IndigoChild2.0,"subcribed! mate ur doing wonders here fan from mancheter UK!!! ive been through the exact same thing luckily i didnt lose much at all, remember around 2012-2014 i got dragged to some conference in manchester, which basically was a get rich quick scheme dressed up as a dream, and everyone there were young vulnerable teens who had barely left school, they was this air of fakeness i cnt explain it, kids in suites everyone makes thousands we are all friends and in this together type vibe, these people smile in your face whilst telling you bare faced lies!!!!

im gna start my own!!! get rich over a long period of time scheme, which genuinely helps and shows people how to really do it ahah cheesy but tbh it would be a big thing.
imagine if someone genunily did teach people how to truly make money id be all over it.",2023-01-04T17:32:33Z
Clifton Hamilton,"Again, YouTube keeps giving get rich quick schemes as advertisement breaks for a YouTube video about how awful get rich quick schemes are.

WTF",2023-01-04T16:51:38Z
4KingGood,My favorite youtuber as of today.,2023-01-04T10:04:07Z
Lucie Ciepka,"90% of my YouTube history was TedTalk, one day I stumbled on a Tai Lopez talk, it was interesting it shared something valuable and I still remember it. YouTube decides that “you watched this-> you should watch this too” Tai Lopez’s video on how to read a book per day… then his videos quickly became “look at my cars” after the third video I felt like I’m not learning anything new so I stopped watching, but by that time  YouTube had decided I may also like all kinds of gourous. Fortunately I have a good financial education from childhood and I studied communications in university, so I know what marketing technics they are using and how the speech is elaborated to make you feel like they are telling you some, it’s just that you don’t get it. 
I recommend to anyone to shuffle a bit their YouTube as often as you can: you go to a randomiser on the net you get the first two unrelated words, and a random number, search them in YouTube take the random number video ▶️ and go do something else as long as YT thinks you are watching, put a like. Do the same thing next week. It will prevent the rabbit hole.",2023-01-04T08:32:10Z
scott byrne,the video i needed to see.,2023-01-03T22:15:53Z
Mind the gap,"What is ironic for me at least, is that the ads that show up are from get rich quick schemes 😂",2023-01-03T22:08:15Z
Eric Fuentes,What song is on the outro?!?!,2023-01-03T21:33:41Z
Jayk Puten,"You lied! You blessed my feed with amazing content, when you promised good content",2023-01-03T20:12:07Z
F b,"There are way to make money quick but with time. You have to learn the markets of what your going to be invested in. Like realty, stocks, etc.",2023-01-03T19:29:59Z
Josh Kaye,shuddup and take my money!,2023-01-03T15:42:59Z
Planet Bongo,"Get rich never. Just get a good job and keep costs low.

And a good job is not 9-5 in an office or store. Do what robots can’t.",2023-01-03T08:22:09Z
ELITE GAMING,Make an part 2,2023-01-03T04:47:16Z
Joe Arant,I find it hilarious that I keep getting get rich quick ads on this video essay,2023-01-03T03:10:48Z
DumbledoreMcCracken,Nothing is legitimate,2023-01-03T02:16:02Z
Yes,Really good and useful video,2023-01-02T18:33:36Z
Point A 2 B,"I wish i can exploit these brainwashed people, pity i am too analytical",2023-01-02T16:38:04Z
JORM,"I love your vids mehn, and i know for sure im not the first to say that. Really enjoying your content, bless up bro",2023-01-02T07:35:00Z
shay,Why has NordVPN never worked the way its advertised? I was in PR last month and couldn’t watch anything on my tv streaming provider,2023-01-02T06:31:12Z
face_clutch,"Ironically I am getting ""get rich scheme"" ad while watching this video. So ""get rich scheme"" vids are financing this vid...",2023-01-02T06:13:00Z
Hamrinder,It’s pathetic how we get bombarded with all scammers false gurus adds while watching this video 😊 sure they have plans for us 😅,2023-01-01T22:41:19Z
Zami Adams,Great documentary.,2023-01-01T16:30:02Z
Taramafor Haikido,"""Don't care.""

Let that sink in. They don't care about you. They admit it themselves. Their subconscious seeping through when they see you as only a tool. That will most likely be discarded.",2023-01-01T00:01:24Z
fitforfreelance,Great video analysis thanks!,2022-12-31T15:51:32Z
jim cua,What's the name of the guy with the glasses?,2022-12-30T21:33:21Z
TommyGreat,James will always dropped an Amazing Premium knowledgeable video 📸,2022-12-28T22:56:24Z
mongrelxman,its funny you have one them scammers adds on your vid ... sad as you slag them off but still suport them in add,2022-12-28T13:44:52Z
Jeffrey Sommer,"And, to no one's surprise, the ads on this video are for--drumroll, please--get-rich-quick schemes! Isn't irony great?",2022-12-28T06:27:13Z
Joe Nielsen,"Definitely been sucked into those ""cult-ures"".",2022-12-27T11:58:32Z
Penny Stock Billionaire Gang,"The irony is that this guy was a LOSER until he took guru courses. Now he is making $$$ with youtube chanel, which blames gurus. LOL",2022-12-27T03:22:45Z
Herb Palmer Jr,"get rich slow is always better then get rich  "" never ""  lobster lab media",2022-12-26T18:19:10Z
Michael McDowell,"Don't know if it was another incarnation of Vemma, but the last MLM pitchgulag I was wheedled into attending, by a good friend, was for The Energy Drink of the Future............I forget its name now, but I'm sure I've never encountered it in stores. Heard the startup price, was very skeptical from getting burned before, and exited quickly.",2022-12-26T09:08:58Z
Dr. J T,Great video... You're doing something with your life that has meaning... That's the reward in itself... Pause and appreciate... Many thanks,2022-12-25T17:49:13Z
Praxiszooms der Sprecherschmiede,thanks :),2022-12-24T01:53:39Z
Austin Mattingly,"Warning about these schemes, first ad pops up “you can’t keep trading all your time for money, if you do this trick”😂😂",2022-12-22T20:30:15Z
Anthony Stewart,don lapre tom vu  ahh the good old days lol,2022-12-21T02:29:24Z
Colm Ward,I blew 15k in a get rich quick scheme the first red flag is ITS EASY if u hear that run because anything worth having requires a lot of work consistently over time I learned my lesson and moved on and I’m grateful for the lessons the scheme teached me.Thanks for a great video James,2022-12-20T09:02:38Z
bright stary,"hello @James jani, quick question, why is it that the link to skillshare is not working ?",2022-12-19T09:50:07Z
P s i,Headed hear from Patrick Boyle’s podcast.  Looking forward to it (had the comedic Greg Secker selling his crap to amuse me at the start) ….,2022-12-19T06:55:07Z
Led Zeppelie,but how do i get rich?,2022-12-19T03:17:54Z
Derva Kommt von hinten,"its always the same principle:
you dont get rich mining during a gold rush, you get rich selling mining equipment
you dont get rich using fake money, you get rich producing it
you dont get rich with get rich quick schemes, you get rich selling those schemes.",2022-12-16T13:47:27Z
Aye Thin,me too man thank you,2022-12-13T18:34:38Z
M S,Iman Gadzi you’re a fraud,2022-12-13T03:01:21Z
Eghoghon Edobor,"Funny how immediately after watching this video warning us to be careful about such schemes, a get rich scheme advert comes up...",2022-12-12T11:00:01Z
marinus18,"15:55
That is also pure luck. making a company is hard work but it going up in a few years is not something you have much if any control of. With just hard work alone keeping your company afload is the best you can hope for. That's why you shouldn't do it unless you have passion for the thing that company does.",2022-12-10T12:43:14Z
marinus18,"12:43
That's a very all or nothing statement. I like to believe in a more indirect autonomy. You can not control your actions directly most of the time but you can affect what influences you.",2022-12-10T12:37:28Z
My natural perfume,"Once the word SYSTEM comes up, run....",2022-12-10T12:08:52Z
KAW,I literally got a dropshipping course in the pre roll ads. When will there be a law against this crap?,2022-12-09T23:39:50Z
Printassia Johnson,"Grant, Dan lok, Dan Pena, the 4 hour week dude, Bob proctor, tony robbins, Robert kiyo the list goes on and on.. none of these ""gurus"" resonated with me as authentic.. I saw them as marketers and salesmen.. nothing more. they definitely got me as well with the thinking about be your own boss, the 9-5 lock down rant. Self help, metaphysical/spiritual, religious, fitness, political, entertainment are some dangerously fucked up industries.",2022-12-07T20:38:21Z
Abishai Patel,"If they ask you to invest first then I don't think it's worth it. What one can do is asking them to invest for you because these people promise that I will get rich, right. So, tell them I will pay you double if I start making money from your course.",2022-12-06T05:03:27Z
Alex Enchiridion,Salute,2022-12-04T03:54:18Z
Hector Vazquez,Sounds like bitcoin 😢,2022-12-03T06:57:50Z
P L,"Cults are effective in their brainwashing, the Word of God must be the compass. Jesus Christ is Lord of all, believe on Him.",2022-12-01T16:57:51Z
Alan J L,hahaha.... love the way the advertisers are selected! You have some trading platform and Grant Cardone interrupting this video! Brilliant!,2022-11-30T10:03:59Z
Nana KB,"The section on Vemma is too familiar. The man in the clip, Alex Morton is known for jumping from MLM to MLM. How he’s made his net worth. Once he did it well once he replicated it. He was recently with a forex trading MLM, IM Mastery Academy that swept through a lot of the US and targets younger people especially minorities. I got recruited into it….that was a hell of a year..",2022-11-30T07:13:04Z
Rewex 2.0,Andrew Tate was the first viewer of this video.,2022-11-28T09:56:15Z
Robert Lee,"The Amway lifestyle. Sure, you can make money selling soaps and chemicals.
But the real money is selling it to your family and friends. The dream, not the soaps.",2022-11-26T04:59:12Z
Adiel Stephenson,"This actually sums up the biggest scam of the lot pretty well: the American Dream, which has been bought into by millions of suckers.",2022-11-24T08:48:26Z
andyauthor2007,Herbalife is like this.,2022-11-20T05:32:41Z
andyauthor2007,"Another one like these are dating gurus.  They promise that if you follow their ""system"" (which costs roughly $1,000 by the way) that you are guaranteed in 6 months to have a girlfriend.  You buy the ""system"", follow the directions to the letter, and 6 months later...surprise, surprise...you're still single.  And then when you call them out on the fact that you are still single, they tell you ""it's your fault.""  And when you ask for a refund ""no, you had a 2 week window for a refund, you can't get one now.""  And one of them (John Alanis) insults you and calls you a ""refunder"" if you ask for your money back on a ""system"" that doesn't work.  You should do a video on these con artists.",2022-11-20T05:26:57Z
Uncle Trash,Seriously. What the fuck. I got 3 different Get Rich Quick Scheme ads during the previous video you made and this one. Holy fucking Christ they're everywhere,2022-11-19T09:57:12Z
Sirensignal,Great work as always brother..you are yound and very talented man..proud of your parents for raising a great young man like you.👏👏👏🔥🔥🙏💯🤜👊🤛,2022-11-18T18:07:23Z
Mobile Freelancer,i miss james videos wish he did more!,2022-11-18T09:14:47Z
Forgive my laughter i have a condition,Great video if anyones interested in earning a second income while on the toilet watching James jani’s documentaries private message me before it’s too late,2022-11-17T19:19:56Z
Mahlercougar,During the commercial advertisement on this YouTube video I received 2 get rich quick scheme videos LOL. Why arent these illegal?,2022-11-14T00:20:45Z
khalil khalil,"Thank you for telling the truth, millions of people have fallen victims of these scams",2022-11-13T12:19:55Z
Christopher McCord,This sounds like church....,2022-11-11T05:01:56Z
Guy Fried,"I had an ad for getting rich quick on a video explaining why they are a scam, how convenient",2022-11-10T01:04:02Z
MissTia777,I used to LOVE Don Lapree infomercials!,2022-11-09T01:46:01Z
Haitham Abdelhadi,VPN 🤓 REALLY 🚫 Protect 🤔 you just give them all information AND bay them 💲money 🤣🤣🤣 .. u dont have to bay for google 😉 ...,2022-11-08T22:40:21Z
koshitek,"Bro so funny, few minutes into your video an ad for grant cardone came up for his FREE training.",2022-11-08T16:42:18Z
Vermin,Respect for admitting how much you ate into this shit like so many of us were fooled,2022-11-07T04:18:36Z
Celestial.Heather,Best part of watching this is the YT commercials are only MLM scams too. 😂,2022-11-07T01:29:38Z
Gul G,BLESS YOU YOUNG MAN.,2022-11-05T13:38:44Z
Lovely,Is Primerica a get rich scheme?,2022-11-02T18:21:03Z
th3Engineer,"Love your content man. And for this, I just let all the ads play no matter how long they are:)",2022-11-01T18:31:07Z
Jay Flores,Thanks man....,2022-10-27T05:42:01Z
Gerg Mohsen,"The market is getting really interesting lately, and how do I go about this? since I heard it comes with loses Just like what is happening now with me, although am optimistic about its next step. I'm sick of all this Advises from Youtubers",2022-10-26T23:48:09Z
Iqremah,The newest one is iman ghadzhi,2022-10-26T21:22:30Z
Jamie Jame,"Watching this video, getting hit with a Grant Cardone ad half way through 🤨😅",2022-10-25T07:48:10Z
molefi setshase,hi james is the Nord vpn purchase not available on monthly payment ?,2022-10-25T07:13:49Z
Maria Tyler,Nice video as always but here is my problem I have been making losses trying to make profit trading. I thought trading demo account is just like trading the real market... can anyone help me out or at least advise me on what to do,2022-10-23T23:50:57Z
Richard Tent,"I make massive profit on my investment since i started investing with Mrs Maryla Sawicka, her investment strategies are high yielding, coupled with the little commission she charges when trading with her",2022-10-22T03:15:28Z
